Applicant ID,Gender,Married,Dependents,Education,Employment Type,Applicant Income,Co-applicant Income,Loan Amount,Loan Amount Term,Credit History,Property Area,Loan Status (Target)
LP001023,Male,No,0,Not Graduate,Self-Employed,1803,0,58,360,0.0,Semi-Urban,N
LP001024,Male,No,0,Graduate,Self-Employed,3635,0,50,360,1.0,Urban,Y
LP001025,Male,No,2,Graduate,Salaried,2068,3290,116,360,1.0,Rural,Y
LP001026,Male,No,1,Graduate,Salaried,27624,1552,230,360,1.0,Urban,Y
LP001027,Male,Yes,0,Not Graduate,Salaried,4023,0,80,360,0.0,Urban,N
LP001028,Male,Yes,0,Graduate,Salaried,11965,1875,138,360,1.0,Urban,Y
LP001029,Male,No,0,Graduate,Salaried,8214,0,211,360,1.0,Semi-Urban,Y
LP001030,Male,Yes,2,Not Graduate,Salaried,6399,0,190,360,0.0,Rural,Y
LP001031,Male,No,2,Graduate,Salaried,5116,0,272,360,0.0,Urban,N
LP001032,Male,Yes,1,Graduate,Salaried,16934,1215,140,360,1.0,Semi-Urban,Y
LP001033,Male,Yes,0,Graduate,Salaried,2153,0,113,360,1.0,Rural,Y
LP001034,Female,No,0,Graduate,Salaried,27621,0,74,360,1.0,Urban,Y
LP001035,Female,Yes,1,Not Graduate,Self-Employed,1356,0,117,360,1.0,Rural,N
LP001036,Female,No,0,Graduate,Salaried,10737,0,73,360,1.0,Urban,Y
LP001037,Male,No,0,Graduate,Salaried,1205,15362,50,360,1.0,Semi-Urban,N
LP001038,Male,No,0,Not Graduate,Self-Employed,3584,2507,257,360,1.0,Rural,N
LP001039,Male,No,0,Graduate,Salaried,5395,4298,142,180,1.0,Urban,Y
LP001040,Male,Yes,2,Not Graduate,Salaried,3020,0,295,360,0.0,Semi-Urban,N
LP001041,Male,No,0,Not Graduate,Salaried,4098,0,89,360,1.0,Semi-Urban,Y
LP001042,Male,Yes,1,Graduate,Salaried,1227,0,114,360,1.0,Rural,N
LP001043,Male,Yes,0,Graduate,Salaried,1830,1681,93,360,0.0,Semi-Urban,N
LP001044,Female,Yes,1,Graduate,Salaried,8089,0,101,360,1.0,Rural,Y
LP001045,Male,Yes,1,Graduate,Salaried,5062,1140,192,360,1.0,Semi-Urban,Y
LP001046,Male,Yes,0,Graduate,Salaried,2463,0,173,180,1.0,Urban,Y
LP001047,Male,Yes,0,Graduate,Salaried,18476,0,192,360,1.0,Rural,Y
LP001048,Male,Yes,0,Graduate,Self-Employed,1451,0,220,360,1.0,Semi-Urban,N
LP001049,Male,No,0,Not Graduate,Salaried,3423,0,206,360,1.0,Urban,Y
LP001050,Male,Yes,1,Graduate,Salaried,2964,1808,79,180,1.0,Rural,Y
LP001051,Female,No,0,Graduate,Salaried,9090,0,108,360,1.0,Rural,Y
LP001052,Male,No,0,Graduate,Salaried,5157,0,147,360,1.0,Urban,Y
LP001053,Female,No,0,Not Graduate,Salaried,4410,0,363,360,1.0,Urban,Y
LP001054,Female,Yes,0,Graduate,Salaried,777,3501,186,360,1.0,Rural,Y
LP001055,Male,No,1,Not Graduate,Salaried,11673,5110,146,360,1.0,Rural,Y
LP001056,Female,Yes,0,Graduate,Salaried,3952,0,180,120,0.0,Rural,N
LP001057,Male,No,0,Graduate,Salaried,5517,0,103,360,1.0,Semi-Urban,Y
LP001058,Male,Yes,1,Graduate,Salaried,2324,0,155,360,1.0,Rural,N
LP001059,Male,No,0,Graduate,Salaried,1986,0,197,180,1.0,Urban,Y
LP001060,Male,No,1,Graduate,Salaried,22010,2173,138,360,1.0,Semi-Urban,Y
LP001061,Male,Yes,0,Graduate,Self-Employed,834,0,94,360,1.0,Semi-Urban,Y
LP001062,Male,Yes,0,Graduate,Salaried,1712,0,135,360,1.0,Semi-Urban,Y
LP001063,Female,No,0,Not Graduate,Salaried,21600,0,120,360,1.0,Semi-Urban,Y
LP001064,Male,Yes,0,Graduate,Salaried,9327,0,58,360,1.0,Semi-Urban,Y
LP001065,Male,No,1,Not Graduate,Self-Employed,3549,4400,105,180,1.0,Semi-Urban,Y
LP001066,Male,Yes,0,Graduate,Salaried,17095,0,56,360,1.0,Urban,Y
LP001067,Male,Yes,0,Graduate,Salaried,7683,0,65,360,1.0,Semi-Urban,Y
LP001068,Female,No,0,Graduate,Self-Employed,6202,0,71,360,1.0,Semi-Urban,Y
LP001069,Male,No,0,Graduate,Self-Employed,6158,1650,197,360,0.0,Semi-Urban,Y
LP001070,Female,No,1,Graduate,Salaried,7826,4420,229,360,1.0,Semi-Urban,Y
LP001071,Male,Yes,0,Graduate,Salaried,8149,0,50,360,0.0,Semi-Urban,Y
LP001072,Male,No,1,Graduate,Salaried,44177,2057,234,360,1.0,Urban,Y
LP001073,Male,Yes,2,Graduate,Salaried,4044,0,72,360,1.0,Rural,Y
LP001074,Female,Yes,0,Graduate,Self-Employed,4171,0,184,360,1.0,Rural,Y
LP001075,Male,No,1,Not Graduate,Salaried,1426,0,155,360,1.0,Rural,N
LP001076,Male,Yes,0,Graduate,Self-Employed,4666,0,178,360,1.0,Semi-Urban,Y
LP001077,Male,Yes,0,Graduate,Salaried,31662,0,70,360,1.0,Semi-Urban,Y
LP001078,Male,Yes,0,Graduate,Salaried,13154,2150,50,360,1.0,Semi-Urban,Y
LP001079,Male,No,0,Graduate,Salaried,2853,1164,91,360,1.0,Rural,Y
LP001080,Male,Yes,2,Graduate,Salaried,5064,0,165,360,1.0,Semi-Urban,Y
LP001081,Female,No,0,Graduate,Salaried,1344,0,257,360,1.0,Urban,N
LP001082,Male,Yes,0,Graduate,Salaried,1864,0,78,360,1.0,Semi-Urban,Y
LP001083,Male,Yes,0,Graduate,Salaried,5706,0,134,360,1.0,Semi-Urban,Y
LP001084,Male,No,1,Graduate,Salaried,2997,0,95,360,1.0,Rural,Y
LP001085,Male,Yes,0,Graduate,Salaried,1729,2343,138,360,0.0,Rural,N
LP001086,Male,Yes,1,Graduate,Salaried,8021,0,50,360,1.0,Rural,Y
LP001087,Male,Yes,0,Not Graduate,Salaried,4526,5017,229,360,1.0,Urban,Y
LP001088,Male,Yes,2,Graduate,Salaried,1025,0,141,360,1.0,Rural,N
LP001089,Female,No,1,Graduate,Salaried,616,0,195,360,1.0,Urban,N
LP001090,Male,Yes,1,Not Graduate,Salaried,2779,1310,126,360,1.0,Rural,Y
LP001091,Male,No,0,Not Graduate,Salaried,1003,1437,151,360,1.0,Semi-Urban,Y
LP001092,Male,Yes,0,Graduate,Salaried,758,0,207,360,1.0,Urban,N
LP001093,Male,Yes,2,Graduate,Salaried,15198,1812,147,360,1.0,Urban,Y
LP001094,Male,No,0,Not Graduate,Salaried,4457,1364,150,360,1.0,Semi-Urban,Y
LP001095,Male,Yes,0,Graduate,Salaried,3768,0,92,360,1.0,Rural,Y
LP001096,Male,Yes,0,Not Graduate,Salaried,4070,0,107,360,1.0,Rural,Y
LP001097,Male,Yes,0,Graduate,Salaried,1575,1159,79,360,1.0,Urban,Y
LP001098,Male,Yes,0,Graduate,Self-Employed,7412,0,95,360,0.0,Semi-Urban,Y
LP001099,Male,Yes,0,Graduate,Salaried,4312,5122,215,120,1.0,Urban,N
LP001100,Male,Yes,0,Graduate,Salaried,2304,0,248,360,1.0,Rural,N
LP001101,Male,Yes,0,Not Graduate,Salaried,2676,0,65,180,1.0,Urban,Y
LP001102,Male,Yes,0,Not Graduate,Salaried,1440,0,163,360,1.0,Semi-Urban,N
LP001103,Male,Yes,0,Graduate,Self-Employed,3273,0,120,360,1.0,Urban,Y
LP001104,Male,Yes,1,Graduate,Salaried,3867,0,223,360,1.0,Semi-Urban,Y
LP001105,Female,Yes,0,Not Graduate,Salaried,3189,0,148,360,1.0,Rural,N
LP001106,Male,No,0,Graduate,Salaried,5193,0,139,360,1.0,Semi-Urban,Y
LP001107,Male,No,0,Graduate,Salaried,4543,1339,95,180,1.0,Urban,Y
LP001108,Male,Yes,0,Graduate,Salaried,6190,0,50,360,1.0,Rural,Y
LP001109,Male,No,0,Graduate,Salaried,12620,2061,185,360,1.0,Semi-Urban,Y
LP001110,Male,Yes,0,Graduate,Salaried,8893,0,161,360,1.0,Semi-Urban,Y
LP001111,Male,Yes,1,Graduate,Salaried,12766,2210,162,120,1.0,Semi-Urban,Y
LP001112,Male,Yes,0,Graduate,Salaried,2105,0,104,360,1.0,Semi-Urban,Y
LP001113,Female,Yes,1,Not Graduate,Salaried,2955,0,131,360,1.0,Semi-Urban,Y
LP001114,Female,Yes,2,Graduate,Salaried,9448,9615,187,360,0.0,Rural,Y
LP001115,Male,Yes,0,Graduate,Self-Employed,9618,0,198,360,1.0,Rural,Y
LP001116,Female,Yes,0,Graduate,Salaried,2493,2543,69,360,1.0,Rural,Y
LP001117,Female,No,0,Graduate,Salaried,9059,0,101,360,1.0,Rural,Y
LP001118,Male,Yes,2,Graduate,Salaried,1913,0,56,360,1.0,Semi-Urban,Y
LP001119,Female,Yes,1,Graduate,Salaried,7951,0,152,360,0.0,Semi-Urban,N
LP001120,Male,No,1,Graduate,Salaried,4787,0,193,360,1.0,Semi-Urban,Y
LP001121,Female,Yes,0,Graduate,Salaried,1230,2199,123,360,1.0,Rural,Y
LP001122,Female,Yes,1,Graduate,Salaried,3184,5440,100,120,1.0,Urban,N
LP001123,Male,No,1,Graduate,Salaried,43576,0,119,120,1.0,Semi-Urban,Y
LP001124,Male,No,0,Graduate,Self-Employed,6019,0,278,360,1.0,Semi-Urban,Y
LP001125,Male,No,0,Graduate,Salaried,49042,1292,211,360,1.0,Urban,Y
LP001126,Male,No,0,Graduate,Self-Employed,1159,0,183,360,1.0,Urban,Y
LP001127,Female,No,0,Graduate,Salaried,10412,2099,159,360,1.0,Rural,Y
LP001128,Female,No,1,Not Graduate,Self-Employed,389,0,139,360,1.0,Semi-Urban,N
LP001129,Male,Yes,0,Not Graduate,Salaried,4913,0,85,360,1.0,Rural,Y
LP001130,Male,Yes,0,Graduate,Salaried,9239,0,76,360,0.0,Urban,Y
LP001131,Male,Yes,0,Graduate,Salaried,11360,0,105,360,1.0,Urban,Y
LP001132,Male,Yes,0,Graduate,Salaried,2209,0,82,360,0.0,Rural,N
LP001133,Male,No,0,Not Graduate,Salaried,13892,2568,103,360,1.0,Rural,Y
LP001134,Male,Yes,2,Graduate,Salaried,2882,0,133,360,1.0,Semi-Urban,N
LP001135,Female,Yes,0,Graduate,Salaried,4170,0,138,360,1.0,Semi-Urban,Y
LP001136,Male,Yes,0,Graduate,Salaried,3186,0,102,360,1.0,Urban,Y
LP001137,Male,No,0,Graduate,Salaried,1577,0,169,360,1.0,Urban,Y
LP001138,Male,Yes,0,Not Graduate,Salaried,23616,0,128,360,1.0,Urban,Y
LP001139,Male,No,0,Graduate,Salaried,5156,0,152,360,1.0,Rural,Y
LP001140,Female,Yes,0,Graduate,Self-Employed,14578,0,95,360,1.0,Semi-Urban,Y
LP001141,Female,Yes,0,Graduate,Salaried,13970,0,181,360,1.0,Urban,Y
LP001142,Male,Yes,0,Graduate,Self-Employed,1866,0,107,360,0.0,Semi-Urban,N
LP001143,Male,Yes,0,Graduate,Salaried,16582,0,236,360,1.0,Rural,Y
LP001144,Male,No,0,Graduate,Salaried,8130,0,126,360,1.0,Rural,Y
LP001145,Male,No,1,Not Graduate,Salaried,1735,6098,134,360,1.0,Urban,Y
LP001146,Male,Yes,0,Graduate,Salaried,7699,3786,175,360,1.0,Semi-Urban,Y
LP001147,Male,Yes,2,Graduate,Salaried,1766,0,188,180,1.0,Rural,Y
LP001148,Male,Yes,0,Not Graduate,Salaried,24500,0,195,360,1.0,Urban,Y
LP001149,Male,No,0,Graduate,Salaried,11089,0,246,360,1.0,Semi-Urban,Y
LP001150,Male,No,2,Graduate,Salaried,4577,0,179,180,1.0,Rural,Y
LP001151,Female,Yes,0,Graduate,Salaried,17410,0,135,360,1.0,Rural,Y
LP001152,Male,Yes,0,Not Graduate,Salaried,1010,1226,108,360,1.0,Urban,Y
LP001153,Male,No,0,Graduate,Salaried,2323,0,131,360,1.0,Urban,N
LP001154,Male,Yes,1,Not Graduate,Salaried,3818,0,229,360,1.0,Semi-Urban,Y
LP001155,Female,Yes,0,Not Graduate,Salaried,45967,0,56,360,1.0,Urban,Y
LP001156,Male,Yes,0,Graduate,Salaried,1684,1452,90,360,1.0,Urban,Y
LP001157,Male,Yes,0,Graduate,Salaried,891,0,126,360,1.0,Semi-Urban,N
LP001158,Male,No,1,Graduate,Salaried,1159,0,90,360,1.0,Semi-Urban,N
LP001159,Male,No,0,Graduate,Salaried,12163,0,115,360,0.0,Semi-Urban,N
LP001160,Male,Yes,0,Not Graduate,Salaried,2712,8056,248,360,1.0,Semi-Urban,Y
LP001161,Male,Yes,0,Not Graduate,Salaried,4191,0,122,360,0.0,Urban,N
LP001162,Male,Yes,1,Graduate,Salaried,10538,2284,164,120,0.0,Urban,Y
LP001163,Male,Yes,0,Graduate,Salaried,4196,0,50,360,1.0,Urban,Y
LP001164,Male,Yes,0,Graduate,Salaried,6027,5940,73,360,1.0,Semi-Urban,Y
LP001165,Male,Yes,1,Graduate,Salaried,8393,0,195,360,1.0,Urban,Y
LP001166,Female,Yes,0,Graduate,Salaried,3194,0,240,360,1.0,Rural,Y
LP001167,Male,Yes,0,Graduate,Self-Employed,4161,0,153,360,0.0,Urban,N
LP001168,Male,Yes,2,Graduate,Salaried,6260,0,121,360,1.0,Rural,Y
LP001169,Male,Yes,1,Graduate,Salaried,11709,1550,169,360,0.0,Urban,Y
LP001170,Male,Yes,0,Graduate,Salaried,2225,1886,50,360,1.0,Urban,Y
LP001171,Male,Yes,0,Not Graduate,Salaried,239,0,153,240,1.0,Semi-Urban,N
LP001172,Male,No,0,Not Graduate,Self-Employed,9697,1226,77,360,1.0,Urban,Y
LP001173,Male,Yes,2,Graduate,Salaried,12428,1933,187,360,1.0,Rural,Y
LP001174,Male,Yes,2,Graduate,Self-Employed,6003,0,50,360,1.0,Rural,Y
LP001175,Male,No,0,Graduate,Salaried,6427,0,102,360,1.0,Rural,N
LP001176,Male,No,1,Graduate,Salaried,2795,0,137,360,0.0,Semi-Urban,N
LP001177,Male,Yes,1,Graduate,Salaried,8104,0,94,180,1.0,Urban,Y
LP001178,Male,No,0,Graduate,Salaried,11535,0,117,360,0.0,Urban,Y
LP001179,Female,Yes,0,Graduate,Salaried,5200,0,194,360,0.0,Urban,N
LP001180,Male,Yes,0,Graduate,Salaried,59352,0,138,360,1.0,Semi-Urban,Y
LP001181,Male,Yes,0,Graduate,Salaried,1028,1159,84,120,1.0,Rural,Y
LP001182,Male,No,2,Graduate,Self-Employed,5784,1076,196,360,1.0,Rural,Y
LP001183,Female,No,2,Graduate,Salaried,1518,1193,155,180,1.0,Urban,N
LP001184,Female,Yes,0,Not Graduate,Salaried,11847,0,157,120,1.0,Semi-Urban,N
LP001185,Male,Yes,0,Graduate,Salaried,1010,1299,86,360,1.0,Semi-Urban,Y
LP001186,Male,Yes,0,Graduate,Salaried,1294,0,50,360,0.0,Urban,Y
LP001187,Female,Yes,1,Graduate,Salaried,2609,1053,85,360,1.0,Semi-Urban,Y
LP001188,Male,Yes,0,Not Graduate,Salaried,6411,4997,79,360,1.0,Rural,Y
LP001189,Male,No,0,Graduate,Salaried,2709,0,103,360,1.0,Urban,Y
LP001190,Male,No,0,Graduate,Salaried,2736,0,89,360,1.0,Urban,Y
LP001191,Male,No,0,Not Graduate,Salaried,4101,0,146,360,1.0,Urban,Y
LP001192,Female,No,0,Graduate,Salaried,3857,2190,192,360,1.0,Semi-Urban,N
LP001193,Female,Yes,2,Graduate,Self-Employed,21751,0,204,360,1.0,Rural,Y
LP001194,Male,No,0,Graduate,Salaried,9758,4939,190,360,1.0,Urban,N
LP001195,Male,Yes,0,Graduate,Salaried,3552,0,86,360,0.0,Rural,N
LP001196,Male,Yes,0,Graduate,Salaried,40015,1581,143,360,1.0,Urban,Y
LP001197,Male,Yes,0,Graduate,Salaried,8035,0,233,360,1.0,Urban,Y
LP001198,Female,Yes,0,Graduate,Salaried,1865,0,50,360,1.0,Semi-Urban,Y
LP001199,Female,Yes,0,Graduate,Salaried,6351,0,220,360,1.0,Urban,Y
LP001200,Male,Yes,2,Graduate,Salaried,8396,1555,80,120,0.0,Rural,Y
LP001201,Male,No,0,Graduate,Salaried,2470,1012,157,360,1.0,Rural,Y
LP001202,Male,Yes,0,Graduate,Salaried,1715,0,164,360,1.0,Rural,Y
LP001203,Male,Yes,0,Not Graduate,Salaried,5358,0,151,360,0.0,Semi-Urban,N
LP001204,Female,No,1,Graduate,Salaried,3428,1163,273,360,1.0,Rural,Y
LP001205,Male,Yes,0,Graduate,Salaried,21571,0,121,180,1.0,Rural,Y
LP001206,Male,Yes,1,Graduate,Salaried,10312,2125,50,360,1.0,Semi-Urban,Y
LP001207,Male,Yes,0,Graduate,Self-Employed,2589,0,161,360,1.0,Rural,Y
LP001208,Male,Yes,0,Graduate,Salaried,7524,0,129,360,1.0,Semi-Urban,Y
LP001209,Male,Yes,0,Graduate,Salaried,17450,0,173,360,1.0,Urban,N
LP001210,Male,Yes,2,Graduate,Salaried,1219,0,192,360,1.0,Semi-Urban,N
LP001211,Male,Yes,0,Graduate,Salaried,1767,0,137,360,1.0,Rural,Y
LP001212,Male,Yes,0,Graduate,Salaried,4860,2122,166,360,0.0,Semi-Urban,N
LP001213,Male,Yes,0,Graduate,Self-Employed,5092,0,148,360,1.0,Urban,Y
LP001214,Male,Yes,0,Graduate,Self-Employed,4664,0,247,360,1.0,Urban,Y
LP001215,Male,Yes,0,Graduate,Salaried,3601,0,117,360,0.0,Semi-Urban,N
LP001216,Male,No,0,Graduate,Salaried,3547,0,98,360,1.0,Urban,Y
LP001217,Male,Yes,0,Graduate,Salaried,7217,0,192,360,1.0,Semi-Urban,Y
LP001218,Male,Yes,0,Graduate,Salaried,15274,1156,84,360,1.0,Urban,Y
LP001219,Male,No,0,Graduate,Salaried,3038,0,163,360,0.0,Rural,N
LP001220,Female,Yes,0,Graduate,Salaried,56297,0,129,120,0.0,Rural,N
LP001221,Male,Yes,0,Not Graduate,Salaried,34915,0,133,360,1.0,Rural,Y
LP001222,Male,Yes,0,Graduate,Salaried,18569,1627,286,180,0.0,Semi-Urban,Y
LP001223,Male,No,0,Graduate,Salaried,9158,1124,214,360,1.0,Semi-Urban,Y
LP001224,Male,No,0,Not Graduate,Salaried,36606,0,201,360,0.0,Urban,Y
LP001225,Male,Yes,0,Graduate,Salaried,3677,0,171,360,1.0,Semi-Urban,Y
LP001226,Male,No,0,Graduate,Salaried,2137,0,98,360,1.0,Rural,Y
LP001227,Female,Yes,0,Graduate,Salaried,2904,0,155,360,1.0,Semi-Urban,Y
LP001228,Male,Yes,0,Graduate,Salaried,1802,0,174,360,1.0,Rural,Y
LP001229,Female,Yes,0,Graduate,Salaried,5551,8960,151,360,1.0,Semi-Urban,Y
LP001230,Male,Yes,0,Graduate,Salaried,6633,0,145,240,1.0,Rural,Y
LP001231,Male,No,0,Graduate,Salaried,6007,2129,116,360,1.0,Semi-Urban,Y
LP001232,Male,Yes,0,Graduate,Self-Employed,4854,6168,156,360,1.0,Semi-Urban,Y
LP001233,Male,Yes,0,Not Graduate,Salaried,5614,0,108,360,1.0,Urban,Y
LP001234,Male,No,0,Graduate,Salaried,27898,0,182,360,1.0,Semi-Urban,Y
LP001235,Male,Yes,1,Graduate,Salaried,9136,0,50,360,1.0,Urban,Y
LP001236,Male,Yes,0,Graduate,Self-Employed,12363,0,221,360,0.0,Urban,N
LP001237,Male,Yes,2,Graduate,Salaried,5947,4473,61,360,1.0,Semi-Urban,Y
LP001238,Male,No,0,Not Graduate,Self-Employed,976,0,75,180,1.0,Rural,Y
LP001239,Male,No,1,Graduate,Salaried,801,0,164,360,0.0,Urban,N
LP001240,Male,Yes,0,Graduate,Self-Employed,39450,2887,172,360,1.0,Urban,Y
LP001241,Female,No,2,Graduate,Salaried,2887,1146,264,360,1.0,Urban,Y
LP001242,Female,Yes,0,Graduate,Salaried,2652,0,157,360,1.0,Urban,Y
LP001243,Female,No,0,Graduate,Self-Employed,6283,0,137,120,1.0,Semi-Urban,Y
LP001244,Male,Yes,0,Graduate,Self-Employed,8521,0,151,360,1.0,Semi-Urban,Y
LP001245,Male,Yes,2,Graduate,Salaried,9670,0,235,360,1.0,Urban,Y
LP001246,Female,No,2,Graduate,Salaried,28981,0,285,360,1.0,Urban,Y
LP001247,Male,Yes,0,Graduate,Salaried,22042,0,128,360,1.0,Semi-Urban,Y
LP001248,Female,Yes,0,Graduate,Salaried,2184,0,172,360,1.0,Urban,Y
LP001249,Female,Yes,0,Not Graduate,Salaried,12948,0,135,360,1.0,Urban,N
LP001250,Female,No,0,Not Graduate,Self-Employed,3347,0,134,360,1.0,Semi-Urban,Y
LP001251,Male,Yes,0,Not Graduate,Salaried,4283,0,252,360,1.0,Semi-Urban,N
LP001252,Male,Yes,2,Not Graduate,Salaried,1645,0,84,360,0.0,Urban,N
LP001253,Female,Yes,0,Graduate,Salaried,904,0,50,360,1.0,Semi-Urban,Y
LP001254,Male,Yes,0,Graduate,Salaried,4762,0,159,360,0.0,Semi-Urban,N
LP001255,Male,Yes,0,Graduate,Salaried,1889,0,212,360,1.0,Semi-Urban,Y
LP001256,Male,No,0,Not Graduate,Salaried,12429,0,153,360,1.0,Rural,Y
LP001257,Female,No,0,Graduate,Salaried,3710,0,170,360,1.0,Urban,Y
LP001258,Male,Yes,0,Not Graduate,Salaried,6691,0,185,120,1.0,Semi-Urban,Y
LP001259,Male,Yes,0,Graduate,Salaried,19293,1578,146,360,0.0,Semi-Urban,Y
LP001260,Male,Yes,0,Not Graduate,Salaried,1112,0,173,360,1.0,Urban,Y
LP001261,Male,Yes,0,Graduate,Self-Employed,2381,0,172,360,1.0,Urban,Y
LP001262,Female,No,0,Graduate,Salaried,5889,0,50,180,1.0,Rural,Y
LP001263,Male,Yes,2,Graduate,Salaried,6717,0,146,360,1.0,Rural,Y
LP001264,Male,Yes,0,Graduate,Salaried,14816,0,50,180,1.0,Urban,Y
LP001265,Female,No,1,Not Graduate,Salaried,11697,1119,137,360,0.0,Semi-Urban,Y
LP001266,Male,Yes,0,Graduate,Salaried,5415,0,110,360,1.0,Rural,N
LP001267,Male,Yes,0,Graduate,Salaried,6656,0,202,360,0.0,Rural,N
LP001268,Male,Yes,0,Graduate,Salaried,6843,0,154,360,1.0,Urban,Y
LP001269,Male,No,1,Graduate,Salaried,1130,29059,168,360,1.0,Urban,Y
LP001270,Male,No,1,Graduate,Salaried,4203,0,128,360,1.0,Semi-Urban,N
LP001271,Female,Yes,0,Graduate,Self-Employed,6301,0,203,360,1.0,Semi-Urban,Y
LP001272,Female,No,0,Graduate,Salaried,7774,0,50,360,1.0,Urban,Y
LP001273,Female,Yes,1,Graduate,Self-Employed,1950,1206,86,360,1.0,Rural,Y
LP001274,Female,Yes,0,Graduate,Salaried,1381,16773,217,240,1.0,Urban,N
LP001275,Male,Yes,0,Graduate,Salaried,3887,0,113,360,1.0,Rural,Y
LP001276,Male,Yes,0,Graduate,Salaried,35149,0,50,360,1.0,Semi-Urban,Y
LP001277,Male,Yes,0,Graduate,Salaried,2166,0,227,360,1.0,Semi-Urban,Y
LP001278,Male,Yes,0,Graduate,Salaried,15897,0,204,360,1.0,Urban,Y
LP001279,Male,Yes,0,Graduate,Salaried,23974,0,182,360,1.0,Semi-Urban,Y
LP001280,Male,Yes,0,Graduate,Salaried,5143,1911,145,360,1.0,Urban,Y
LP001281,Female,Yes,0,Graduate,Salaried,2490,0,239,360,1.0,Semi-Urban,Y
LP001282,Male,No,0,Not Graduate,Self-Employed,8207,1949,215,180,1.0,Rural,Y
LP001283,Male,Yes,0,Not Graduate,Salaried,5972,0,232,360,1.0,Rural,Y
LP001284,Male,Yes,0,Graduate,Salaried,2081,0,181,360,1.0,Urban,Y
LP001285,Male,Yes,0,Graduate,Salaried,2543,1454,147,360,1.0,Semi-Urban,Y
LP001286,Male,Yes,2,Not Graduate,Salaried,7735,2009,116,180,1.0,Urban,Y
LP001287,Male,No,1,Graduate,Salaried,12499,0,63,180,1.0,Rural,Y
LP001288,Male,Yes,0,Graduate,Salaried,3558,0,170,360,1.0,Urban,Y
LP001289,Male,Yes,1,Graduate,Salaried,4586,1022,175,360,1.0,Semi-Urban,Y
LP001290,Male,No,0,Graduate,Salaried,9591,0,119,360,1.0,Semi-Urban,Y
LP001291,Male,Yes,0,Not Graduate,Salaried,4136,0,176,360,1.0,Semi-Urban,Y
LP001292,Male,Yes,0,Graduate,Salaried,3643,0,120,360,1.0,Semi-Urban,Y
LP001293,Female,Yes,1,Graduate,Self-Employed,2309,0,192,360,1.0,Rural,N
LP001294,Male,No,1,Graduate,Salaried,2269,1273,87,180,1.0,Rural,Y
LP001295,Male,Yes,0,Graduate,Salaried,70889,0,76,360,1.0,Semi-Urban,N
LP001296,Male,Yes,0,Not Graduate,Self-Employed,4039,1380,125,360,1.0,Semi-Urban,Y
LP001297,Male,Yes,0,Graduate,Salaried,19245,0,189,360,1.0,Semi-Urban,Y
LP001298,Male,Yes,0,Graduate,Salaried,26475,0,70,360,1.0,Rural,Y
LP001299,Male,Yes,0,Graduate,Salaried,4090,0,202,180,1.0,Urban,Y
LP001300,Male,Yes,0,Not Graduate,Salaried,7104,0,50,360,1.0,Urban,Y
LP001301,Male,Yes,1,Not Graduate,Self-Employed,5445,0,125,360,0.0,Urban,N
LP001302,Male,No,1,Graduate,Salaried,980,1592,55,360,1.0,Urban,Y
LP001303,Male,No,0,Graduate,Salaried,1041,17432,50,360,0.0,Semi-Urban,Y
