ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
1/18/2018,43,142326,644,Employed,Bachelor,24,13499,96,Widowed,2,Mortgage,772,0.222579231,1,2,0.295469876,0,Other,0,18,2,13247,73836,4213,11860.5,0.9710625,5,69623,0.226499,0.223794765,303.1952309,0.090653449,1,39.2
1/19/2018,29,16021,553,Employed,High School,8,14655,72,Single,0,Rent,286,0.55603001,5,1,0.10456869,0,Debt Consolidation,1,25,12,8651,29278,25345,1335.083333,0.949187834,4,3933,0.253155,0.234766213,381.1768758,0.499726765,0,59
1/20/2018,23,34698,594,Employed,Associate,0,14314,60,Widowed,3,Mortgage,755,0.18720284,5,0,0.100597962,0,Debt Consolidation,0,27,29,3721,128035,72605,2891.5,0.874070288,5,55430,0.222314,0.231478314,404.7350889,0.401084243,0,48
1/21/2018,57,106749,630,Employed,Master,30,15698,48,Single,0,Rent,1059,0.132542598,0,1,0.147279682,0,Auto,0,21,14,1686,212568,8152,8895.75,0.854354808,4,204416,0.195698,0.204412692,481.3942886,0.173160699,1,32.8
1/22/2018,37,59138,594,Employed,Associate,14,13205,72,Married,0,Own,564,0.393772188,2,1,0.111663227,0,Auto,0,18,9,1187,24257,18681,4928.166667,0.813101025,4,5576,0.231205,0.211443961,325.1174211,0.180415453,0,51
1/23/2018,40,114216,635,Employed,Doctorate,17,9809,60,Single,3,Rent,571,0.224187421,3,1,0.630448393,0,Home,0,26,2,720,23984,27250,9518,0.851839052,10,2482,0.197309,0.201114034,260.4869053,0.087359414,1,46.4
1/24/2018,22,63300,503,Employed,Associate,0,16476,24,Married,2,Rent,376,0.389649375,3,1,0.235798589,0,Home,0,29,7,2154,14710,53225,5275,0.870722953,5,6903,0.239976,0.231670288,864.2694728,0.235122175,0,53
1/25/2018,33,39676,555,Employed,Master,12,47795,60,Single,1,Other,199,0.346519864,2,1,0.573394538,0,Home,0,19,4,840,157749,76577,3306.333333,0.583599495,4,81172,0.275295,0.253474142,1412.597891,0.48742753,0,60
1/26/2018,41,59192,594,Unemployed,High School,16,45608,36,Divorced,4,Mortgage,222,0.409336365,4,0,0.230115845,0,Auto,0,18,1,21084,67609,9196,4932.666667,0.844395236,3,58413,0.233608,0.200682644,1696.543489,0.388946511,0,58
1/27/2018,26,15059,462,Employed,Associate,0,20240,24,Single,3,Other,443,0.09882176,2,0,0.067066338,0,Home,0,16,25,713,29861,13107,1254.916667,0.599027175,12,16754,0.26424,0.246020665,1076.202706,1.21060047,0,51
1/28/2018,44,15305,608,Self-Employed,Bachelor,23,21452,48,Single,4,Mortgage,443,0.111314692,1,1,0.063153792,0,Home,0,21,29,9547,16936,7005,1275.416667,0.907674268,2,9931,0.212452,0.225375302,682.1440642,0.882177639,0,51
1/29/2018,32,35498,622,Employed,Master,10,11136,36,Married,0,Own,698,0.39074471,2,0,0.176444352,0,Home,0,18,17,1346,34189,31484,2958.166667,0.703667984,3,2705,0.185136,0.164845971,394.1781845,0.369207792,0,48
1/30/2018,36,60227,576,Employed,Bachelor,14,25264,84,Divorced,3,Own,458,0.278275343,3,1,0.144112682,0,Home,0,27,28,5391,141168,35773,5018.916667,0.814347986,5,105395,0.262264,0.239128971,622.0190933,0.215189684,1,36.8
1/31/2018,32,23861,592,Self-Employed,High School,10,19570,36,Married,0,Other,521,0.232777306,2,3,0.223711225,0,Auto,0,29,27,3348,85166,8627,1988.416667,0.773488801,8,76539,0.20857,0.197034892,724.3380618,0.62629633,0,55
2/1/2018,62,73843,667,Unemployed,Master,37,44668,60,Single,1,Other,388,0.29595832,7,2,0.156913701,1,Home,0,16,3,17023,56887,90622,6153.583333,0.944648654,5,3068,0.216168,0.234603328,1271.053755,0.26960775,0,62
2/2/2018,39,61099,559,Employed,Bachelor,19,10094,84,Married,0,Mortgage,380,0.128351414,1,0,0.265219566,0,Auto,0,21,19,2987,69823,23540,5091.583333,0.880247879,4,46283,0.255594,0.261050046,262.6701512,0.126222063,0,51
2/3/2018,27,15000,535,Employed,High School,4,11318,120,Single,2,Mortgage,721,0.582754942,2,3,0.448384819,0,Home,0,15,18,4172,303949,13680,1250,0.86552466,1,290269,0.298818,0.343594011,335.3986467,0.845118917,0,53
2/4/2018,49,34738,520,Employed,Associate,25,10166,72,Single,2,Mortgage,388,0.566340205,3,3,0.314513811,0,Home,0,27,4,1767,249298,10972,2894.833333,0.879833763,2,238326,0.265166,0.273933243,288.9598327,0.233851056,0,55
2/5/2018,25,85889,571,Employed,Bachelor,3,24186,72,Married,2,Rent,870,0.331656765,4,0,0.050538644,0,Education,0,31,10,14921,18899,5554,7157.416667,0.905685066,4,13345,0.253686,0.279617748,696.1364545,0.21881309,0,49
2/6/2018,42,78701,552,Employed,Associate,18,18326,60,Married,1,Rent,482,0.188005301,6,1,0.071301978,0,Home,0,25,19,463,170720,30154,6558.416667,0.706246374,7,140566,0.247326,0.218912351,505.0115503,0.150495402,1,36
2/7/2018,18,24914,604,Employed,Master,0,8015,36,Married,4,Mortgage,327,0.376158795,1,4,0.64426586,0,Auto,0,17,28,2612,49999,8146,2076.166667,0.926016457,7,41853,0.191015,0.152812,278.9475811,0.291858833,1,45.6
2/8/2018,24,57231,508,Unemployed,Associate,0,35876,48,Married,4,Rent,370,0.572203518,3,0,0.134740613,0,Auto,0,20,21,7737,214229,73682,4769.25,0.508966871,8,140547,0.276876,0.230468198,1150.799076,0.31887594,0,50
2/9/2018,42,163303,655,Self-Employed,Bachelor,23,12850,72,Single,2,Other,337,0.357969313,3,0,0.072959106,0,Debt Consolidation,0,19,1,3012,115322,17900,13608.58333,0.915096795,8,97422,0.20035,0.189531294,300.0461613,0.046812085,1,37.6
2/10/2018,48,38453,595,Unemployed,High School,26,30517,48,Divorced,0,Own,560,0.382437705,0,0,0.103003265,0,Home,0,22,20,5165,46352,3481,3204.416667,0.79354296,6,42871,0.228017,0.226230533,971.8230602,0.478034919,0,54
2/11/2018,42,99920,582,Self-Employed,Bachelor,20,23363,12,Single,3,Other,298,0.615080763,3,2,0.20583096,0,Debt Consolidation,0,20,11,991,27778,23569,8326.666667,0.729776184,10,4209,0.197363,0.175435686,2136.847993,0.292415692,1,44.8
2/12/2018,38,57860,591,Employed,High School,20,25576,96,Married,4,Rent,159,0.144070321,3,0,0.074387032,0,Auto,0,27,1,2059,463089,25653,4821.666667,0.841298379,8,437436,0.265076,0.287654958,683.4043512,0.174712275,0,47
2/13/2018,36,30890,590,Employed,High School,16,10176,24,Divorced,2,Own,289,0.213863749,3,1,0.124730217,0,Education,0,23,6,11162,43010,28334,2574.166667,0.808568549,7,14676,0.190176,0.176526645,506.3215206,0.308962714,0,53
2/14/2018,22,15561,500,Employed,High School,1,20169,36,Single,2,Rent,346,0.104223771,6,0,0.374558377,0,Debt Consolidation,0,25,13,1929,16965,5913,1296.75,0.598246307,4,11052,0.255169,0.2423903,793.8209078,0.878982771,0,55
2/15/2018,31,105957,530,Employed,High School,7,53987,72,Single,0,Other,399,0.046450446,0,0,0.621059192,0,Auto,0,31,16,4218,165299,69541,8829.75,0.525186497,3,95758,0.303987,0.326750988,1718.377313,0.23980037,0,54
2/16/2018,34,82887,545,Employed,High School,13,20996,84,Divorced,2,Other,471,0.374017043,2,0,0.151595948,0,Other,0,19,8,16502,17748,117394,6907.25,0.904931027,2,4958,0.273496,0.279583208,571.7878723,0.150970049,0,50
2/17/2018,52,53555,631,Employed,Associate,31,29418,60,Divorced,1,Own,221,0.257700044,0,1,0.147909138,0,Education,0,28,20,9902,12300,27582,4462.916667,0.800298277,4,2753,0.218918,0.21766388,808.5905594,0.230699033,0,47
2/18/2018,44,105639,627,Employed,High School,20,20409,108,Widowed,0,Rent,387,0.282174466,1,4,0.327078397,0,Home,0,22,21,3379,165235,22300,8803.25,0.623227567,5,142935,0.251909,0.263740227,495.9515749,0.100298364,0,46
2/19/2018,18,58342,519,Employed,High School,0,10077,24,Single,3,Mortgage,592,0.159214493,3,0,0.192869156,0,Debt Consolidation,0,20,7,5076,25120,15562,4861.833333,0.949535893,8,9558,0.225577,0.26069905,543.2493604,0.23350232,0,50
2/20/2018,43,121939,653,Employed,Doctorate,25,41215,48,Divorced,0,Mortgage,220,0.532941404,2,1,0.244425123,0,Other,0,30,12,1365,188167,2457,10161.58333,0.844617703,8,185710,0.209715,0.18464928,1220.726563,0.1417817,1,32.8
2/21/2018,35,16054,526,Employed,Associate,13,20612,36,Married,1,Own,465,0.144362237,1,2,0.206533044,0,Education,0,25,21,4127,51140,11870,1337.833333,0.615917072,6,39270,0.242612,0.231663828,799.6733391,0.945314568,0,53
2/22/2018,31,36057,592,Employed,Associate,11,29501,36,Married,3,Other,384,0.231684159,4,0,0.187428659,0,Home,0,18,12,2220,19637,56982,3004.75,0.731987106,4,1500,0.218501,0.214285281,1117.953612,0.499859759,0,51
2/23/2018,47,124086,631,Employed,High School,27,36798,24,Widowed,3,Mortgage,713,0.224482289,6,1,0.339714475,0,Auto,0,27,24,3281,32072,21593,10340.5,0.715963155,6,10479,0.196298,0.167651799,1815.227228,0.24449758,1,39.2
2/24/2018,52,272693,586,Employed,Bachelor,28,19717,84,Married,0,Rent,278,0.372474725,2,2,0.270157502,0,Auto,0,19,13,801,94338,5443,22724.41667,0.744494391,8,88895,0.251717,0.218114526,459.5963315,0.032458318,1,38.4
2/25/2018,51,48757,615,Employed,Bachelor,27,16173,84,Divorced,3,Mortgage,817,0.210713971,1,0,0.305376717,0,Debt Consolidation,0,28,19,21739,39354,97462,4063.083333,0.491342169,2,3120,0.233673,0.221322805,380.1899402,0.2946506,0,52
2/26/2018,29,31683,498,Employed,Associate,5,10566,24,Married,2,Other,183,0.443554106,4,2,0.090370619,0,Debt Consolidation,0,22,12,30896,278821,123883,2640.25,0.829092654,5,154938,0.236566,0.209471438,542.6665153,0.274847653,0,48
2/27/2018,36,69003,499,Self-Employed,Associate,11,5376,96,Single,4,Mortgage,458,0.367662789,6,2,0.174379819,0,Auto,0,28,11,983,37496,23994,5750.25,0.779023357,3,13502,0.290876,0.248414968,129.3875731,0.102149919,1,42.4
2/28/2018,43,72408,616,Employed,Bachelor,18,23181,48,Married,0,Rent,803,0.234654441,1,2,0.365438817,1,Debt Consolidation,0,22,29,3815,22524,33442,6034,0.820967194,4,5786,0.210181,0.2522172,771.4847976,0.260935498,0,63
3/1/2018,51,105087,653,Employed,Master,33,48331,108,Single,1,Mortgage,772,0.116999562,5,1,0.180557546,0,Auto,1,22,24,21204,201313,59261,8757.25,0.574198602,4,142052,0.266831,0.273712499,1208.153325,0.226115884,0,44
3/2/2018,34,15000,607,Employed,Master,11,26412,96,Married,1,Own,468,0.031266607,1,2,0.350112392,0,Home,0,18,22,2232,234374,11163,1250,0.8258669,6,223211,0.257912,0.276450517,685.4486807,0.922758945,0,48
3/3/2018,37,38513,600,Self-Employed,High School,16,21225,48,Divorced,2,Rent,373,0.518635366,2,0,0.168435829,0,Education,0,22,29,1458,44836,28653,3209.416667,0.875203422,4,16183,0.216225,0.231104163,681.5771431,0.328588417,0,52
3/4/2018,26,77555,527,Employed,Bachelor,5,22854,36,Married,0,Rent,499,0.095479571,6,1,0.188278148,0,Education,0,19,22,8710,39027,9580,6462.916667,0.882474112,5,29447,0.244354,0.199930067,849.255101,0.208614031,1,39.2
3/5/2018,25,15000,576,Employed,High School,1,18177,48,Single,0,Mortgage,528,0.273312263,6,1,0.236083226,0,Home,0,25,3,5689,99036,274582,1250,0.868719772,3,1077,0.225177,0.219854905,572.5428041,0.880434243,0,57
3/6/2018,49,24973,611,Employed,Bachelor,30,17466,48,Married,3,Own,336,0.280081587,1,0,0.414994447,0,Auto,0,23,12,3167,44944,30121,2081.083333,0.872346286,9,14823,0.206966,0.221443098,551.6544409,0.426534789,0,55
3/7/2018,56,18248,574,Employed,Associate,37,16443,24,Divorced,0,Own,733,0.283474182,2,1,0.063628336,0,Home,0,23,20,2682,204131,11483,1520.666667,0.933891937,2,192648,0.204443,0.173698456,815.9042462,1.018569211,0,48
3/8/2018,39,67367,615,Self-Employed,Associate,15,26889,48,Married,1,Mortgage,317,0.007965918,4,0,0.46591212,0,Debt Consolidation,0,29,24,8241,115099,16012,5613.916667,0.525456879,4,99087,0.214389,0.1715112,777.9871225,0.195048696,1,42.4
3/9/2018,52,32418,647,Employed,Bachelor,29,32208,12,Married,2,Rent,447,0.413401982,1,0,0.318759767,0,Auto,0,26,3,2926,326015,12696,2701.5,0.778286767,3,313319,0.173708,0.1507094,2908.11798,1.241946319,0,50
3/10/2018,44,26879,649,Employed,Bachelor,21,20313,60,Married,1,Rent,562,0.4332425,3,2,0.219649579,0,Home,0,22,29,4029,94575,23485,2239.916667,0.754221407,5,71090,0.200813,0.198963951,536.9999395,0.490643226,0,50
3/11/2018,32,54128,620,Employed,Bachelor,11,20676,36,Single,0,Mortgage,322,0.263498947,2,1,0.100135921,0,Home,0,32,7,4943,92000,4196,4510.666667,0.789947459,1,87804,0.195676,0.177753037,745.1584242,0.236585521,1,36.8
3/12/2018,44,19924,535,Employed,High School,20,21767,48,Married,0,Mortgage,495,0.245326014,3,0,0.384352371,0,Education,0,32,19,21032,22711,8051,1660.333333,0.814455674,8,14660,0.249267,0.2991204,782.629287,0.769501679,0,56
3/13/2018,58,90788,672,Employed,Bachelor,34,18243,36,Married,2,Mortgage,153,0.297925723,3,0,0.146633465,0,Debt Consolidation,0,20,21,1980,13542,32218,7565.666667,0.753031475,6,5911,0.167243,0.140428569,623.8822991,0.10268524,1,34.4
3/14/2018,39,190445,619,Employed,Master,16,28894,36,Single,3,Mortgage,304,0.263649139,4,1,0.012833162,0,Other,0,24,8,2857,154003,38230,15870.41667,0.961251612,6,115773,0.204394,0.214125306,1094.712989,0.08813335,1,33.6
3/15/2018,58,35372,612,Employed,High School,38,25313,24,Married,1,Mortgage,424,0.291020376,3,0,0.404388836,0,Education,0,20,26,2811,123931,4752,2947.666667,0.857234885,3,119179,0.194313,0.196999658,1284.618306,0.579651127,0,50
3/16/2018,18,15000,570,Employed,Associate,0,50226,48,Married,1,Mortgage,537,0.208115531,10,0,0.226735283,0,Debt Consolidation,1,16,26,3575,153676,71478,1250,0.783563628,3,82198,0.260226,0.228380006,1605.36257,1.713890056,0,58
3/17/2018,49,40829,617,Employed,Bachelor,25,25478,36,Married,1,Mortgage,785,0.073220558,3,0,0.253745924,0,Auto,0,11,14,2267,42122,7348,3402.416667,0.951948631,0,34774,0.201978,0.179312099,920.2117649,0.501176644,0,49
3/18/2018,41,58655,523,Employed,Associate,16,26493,96,Single,4,Mortgage,206,0.415304422,4,0,0.175187563,0,Other,0,24,13,2003,64414,41991,4887.916667,0.85271372,1,22423,0.299993,0.334440137,795.1657823,0.204824642,0,51
3/19/2018,36,68801,531,Employed,Bachelor,14,18652,36,Single,0,Rent,1044,0.165515713,1,2,0.335232924,0,Auto,1,30,16,1810,446359,16938,5733.416667,0.554409423,2,429421,0.238152,0.2857824,777.3521551,0.317673084,0,53
3/20/2018,41,92731,619,Employed,Bachelor,19,31116,48,Single,1,Rent,396,0.123051852,4,1,0.221117214,0,Home,0,20,3,3025,11209,14838,7727.583333,0.553710828,3,7629,0.216616,0.215424503,972.6302006,0.17710973,0,50
3/21/2018,18,40050,545,Self-Employed,Doctorate,0,112253,48,Married,1,Rent,406,0.306127621,4,1,0.184527533,0,Home,1,33,2,1506,18390,29714,3337.5,0.937030242,4,7672,0.334753,0.358485696,4432.382784,1.449702707,0,64
3/22/2018,37,40784,618,Employed,Master,14,41465,72,Married,0,Own,370,0.174326245,3,0,0.203760957,0,Home,0,26,27,21978,197632,25549,3398.666667,0.831500989,4,172083,0.247465,0.292763473,1228.160165,0.470231512,0,45
3/23/2018,44,15000,588,Employed,High School,23,26563,48,Married,0,Mortgage,378,0.308927643,3,3,0.298108408,0,Home,0,24,21,1357,496594,22556,1250,0.880859763,6,474038,0.227563,0.209816068,822.2789888,0.960223191,0,48
3/24/2018,57,86699,615,Employed,Associate,39,7469,60,Single,0,Rent,413,0.113761868,6,2,0.179135546,0,Home,0,18,24,1872,36531,70691,7224.916667,0.919494932,6,8130,0.204969,0.198849737,197.405087,0.084486108,1,36
3/25/2018,33,17676,540,Employed,Associate,8,17801,48,Married,4,Own,226,0.153094569,4,1,0.355642791,0,Debt Consolidation,0,38,21,8380,70945,22271,1473,0.878423281,5,48674,0.242801,0.243880793,584.1709707,0.550014237,0,55
3/26/2018,30,42752,517,Employed,High School,4,14379,36,Married,2,Rent,363,0.357778636,3,0,0.297587934,0,Auto,0,18,2,6094,172820,26438,3562.666667,0.816055799,4,146382,0.240879,0.239661812,563.8738944,0.260162957,0,53
3/27/2018,33,29096,570,Employed,Associate,12,40138,24,Married,3,Other,685,0.141297078,2,1,0.23944694,0,Debt Consolidation,0,28,19,1461,86250,50013,2424.666667,0.76075839,4,36237,0.230138,0.248600622,2139.408949,1.16486484,0,53
3/28/2018,50,60992,663,Employed,Bachelor,30,24642,48,Single,0,Rent,664,0.252637684,0,0,0.055588171,0,Home,0,28,17,4726,52202,13350,5082.666667,0.917147963,4,38852,0.188142,0.216449288,771.6304126,0.282456141,0,44
3/29/2018,43,100032,524,Employed,Master,21,19105,60,Married,0,Mortgage,824,0.106728644,5,0,0.226649868,1,Education,0,24,29,9197,49889,4301,8336,0.831493947,6,45588,0.262105,0.209684,516.5148903,0.160810328,1,49.6
3/30/2018,33,35882,620,Employed,Master,11,9259,48,Single,0,Own,257,0.170245836,3,0,0.147593005,0,Home,0,23,11,3552,61154,91262,2990.166667,0.883371579,3,8266,0.194259,0.200011478,281.7603872,0.180177377,0,47
3/31/2018,46,32781,623,Employed,High School,22,17468,60,Married,1,Other,1180,0.087482384,4,0,0.093777322,0,Debt Consolidation,0,23,19,7428,299192,4938,2731.75,0.660953655,2,294254,0.210968,0.232065323,494.5061264,0.612979272,0,41
4/1/2018,41,51707,585,Employed,Bachelor,18,20069,72,Married,3,Rent,407,0.005922389,5,0,0.217388379,0,Home,0,25,7,3815,24114,24580,4308.916667,0.837323714,4,2253,0.242569,0.268223329,563.2583043,0.225174534,0,52
4/2/2018,51,31251,596,Unemployed,Bachelor,30,66582,24,Single,0,Rent,357,0.566448097,2,2,0.160169554,0,Home,1,21,25,2313,30153,37940,2604.25,0.784061566,5,3276,0.243582,0.24745644,3545.091047,1.498355015,0,61
4/3/2018,31,22359,524,Employed,High School,11,26889,48,Married,2,Mortgage,216,0.221131696,5,1,0.455259931,0,Auto,0,14,8,24764,131521,46881,1863.25,0.853879192,4,84640,0.259889,0.240713535,877.6917767,0.586980693,0,57
4/4/2018,36,152650,610,Employed,Associate,12,24815,48,Married,3,Other,148,0.103056871,3,1,0.384307506,0,Home,0,21,25,4346,127009,89100,12720.83333,0.772580977,6,37909,0.214815,0.21351149,773.108261,0.072409428,1,38.4
4/5/2018,35,15120,562,Self-Employed,Master,11,21849,84,Married,0,Rent,423,0.515726666,5,1,0.238644521,0,Debt Consolidation,0,24,26,1874,18522,14697,1260,0.951149525,5,3825,0.265849,0.244170701,544.9168705,0.768187992,0,58
4/6/2018,22,59830,570,Self-Employed,Associate,0,22734,24,Single,2,Rent,246,0.432399873,3,2,0.572327682,0,Debt Consolidation,0,29,9,2511,449345,13537,4985.833333,0.74850473,7,435808,0.212734,0.174626639,1129.080924,0.275797611,1,45.6
4/7/2018,43,55308,645,Employed,Doctorate,22,19539,72,Single,0,Other,362,0.071558191,3,0,0.266209929,0,Debt Consolidation,0,29,24,5995,101618,7871,4609,0.966476271,4,93747,0.212039,0.1696312,434.2651669,0.172763108,1,36.8
4/8/2018,43,30948,601,Employed,Bachelor,17,25291,36,Married,0,Mortgage,286,0.050951342,1,0,0.360348689,0,Auto,0,19,25,7167,99978,21318,2579,0.743577766,9,78660,0.209791,0.223307718,970.2078724,0.487091071,0,49
4/9/2018,40,56940,592,Employed,Associate,21,15752,96,Married,0,Mortgage,213,0.425049983,3,0,0.117237585,0,Debt Consolidation,0,20,7,1349,97769,33321,4745,0.790791161,5,64448,0.254752,0.261601498,392.9661211,0.127706243,0,50
4/10/2018,37,44000,539,Employed,High School,13,28714,60,Married,3,Rent,457,0.414182437,3,1,0.199994093,0,Home,0,10,29,5872,331208,29418,3666.666667,0.946449956,8,301790,0.264214,0.244173748,833.0142733,0.351822075,0,46
4/11/2018,23,81554,509,Employed,High School,4,35101,72,Married,1,Rent,519,0.357920901,5,0,0.29432355,0,Home,0,23,24,3233,84421,14641,6796.166667,0.823124385,5,69780,0.295601,0.316512275,1093.628675,0.237285039,0,49
4/12/2018,34,26567,612,Employed,Bachelor,13,17339,60,Single,1,Mortgage,194,0.087386093,1,1,0.065337074,0,Education,0,17,14,2738,55729,81589,2213.916667,0.682891631,4,9625,0.216339,0.232191325,490.9800293,0.309397386,0,48
4/13/2018,35,33569,596,Employed,Bachelor,9,37172,48,Divorced,0,Mortgage,212,0.262914747,3,0,0.032588299,0,Home,0,20,8,2103,56452,23346,2797.416667,0.706785895,6,33106,0.234172,0.224569569,1180.384964,0.497739568,0,52
4/14/2018,30,94238,608,Employed,Bachelor,6,15917,36,Married,3,Own,203,0.164377527,3,2,0.458928082,0,Home,0,23,2,3382,54668,13137,7853.166667,0.607675433,3,41531,0.196917,0.187632533,581.5503892,0.099902424,1,44
4/15/2018,38,45145,587,Employed,Bachelor,17,11431,48,Divorced,1,Mortgage,879,0.126124946,5,0,0.297410249,0,Education,0,27,24,7060,119670,26515,3762.083333,0.958147173,9,93155,0.212931,0.196131632,345.4978469,0.325483977,1,40
4/16/2018,44,70881,597,Employed,Master,23,34590,48,Divorced,0,Rent,324,0.304031873,1,1,0.117077159,0,Home,0,22,19,2050,3628,21804,5906.75,0.787064062,8,1188,0.23109,0.214166498,1078.870189,0.237502889,0,50
4/17/2018,62,105240,656,Employed,Associate,39,13937,108,Widowed,3,Mortgage,391,0.248974565,6,2,0.198300231,1,Home,0,32,26,1960,62442,28628,8770,0.964705144,4,33814,0.230937,0.229707857,306.3041271,0.079510163,0,55
4/18/2018,42,63709,517,Unemployed,Bachelor,18,22221,48,Single,0,Mortgage,623,0.28385889,2,3,0.473213044,0,Auto,0,41,18,3930,80888,12851,5309.083333,0.620807382,3,68037,0.258721,0.265423641,756.0285458,0.259748898,0,57
